DATE;ACTIVITY TYPE;ACTIVITY NAME;DEBIT;DEBIT CURRENCY;CREDIT;CREDIT CURRENCY;CARD NUMBER;LOCALITY;RECIPIENT;SENDER;FEES/COMMISSION;BUY/SELL;QUANTITY;ASSET;PRICE PER UNIT
09/06/2025;CARD_TRANSACTION_OUT;"""Coop-4899 Zürich Bahnh""";-52.09;CHF;;;**** 1853;"""Zürich 1 Sihl, CH""";"""Coop-4899 Zürich Bahnh""";"""""";0;;;;
16/06/2025;CARD_TRANSACTION_OUT;"""Coop-2848 ZH Sihlcity""";-77.51;CHF;;;**** 1853;"""Zürich, CH""";"""Coop-2848 ZH Sihlcity""";"""""";0;;;;
18/06/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
19/06/2025;PAYMENT_TRANSACTION_OUT;"""Twint a AMAZON.CH""";-348.63;CHF;;;;"""""";"""Twint a AMAZON.CH""";"""""";0;;;;
20/06/2025;CARD_TRANSACTION_OUT;"""Migros TA KAIMUG Bruna""";-34.07;CHF;;;**** 1853;"""Zürich, CH""";"""Migros TA KAIMUG Bruna""";"""""";0;;;;
23/06/2025;CARD_TRANSACTION_OUT;"""Restaurant Swaad""";-41.07;CHF;;;**** 1853;"""Zürich, CH""";"""Restaurant Swaad""";"""""";0;;;;
25/06/2025;PAYMENT_TRANSACTION_IN;"""Transfer from Software Development Ltd""";;;6250.80;CHF;;"""""";"""""";"""Software Development Ltd""";0;;;;
27/06/2025;CARD_TRANSACTION_OUT;"""Aldi Suisse 74""";-13.71;CHF;;;**** 1853;"""Zürich, CH""";"""Aldi Suisse 74""";"""""";0;;;;
01/07/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Real Estate Partners""";-1244.06;CHF;;;;"""""";"""Real Estate Partners""";"""""";0;;;;
01/07/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/07/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
05/07/2025;PAYMENT_TRANSACTION_OUT;"""Train ticket""";-80.00;CHF;;;;"""""";"""SBBCFFFSS""";"""""";0;;;;
02/07/2025;PAYMENT_TRANSACTION_OUT;"""Twint a SCHMIDT PETER""";-182.83;CHF;;;;"""""";"""Twint a SCHMIDT PETER""";"""""";0;;;;
09/07/2025;CARD_TRANSACTION_OUT;"""Migros TA KAIMUG Bruna""";-20.86;CHF;;;**** 1853;"""Zürich, CH""";"""Migros TA KAIMUG Bruna""";"""""";0;;;;
16/07/2025;CARD_TRANSACTION_OUT;"""Confiseur Bachmann AG""";-16.58;CHF;;;**** 1853;"""Zürich, CH""";"""Confiseur Bachmann AG""";"""""";0;;;;
19/07/2025;PAYMENT_TRANSACTION_OUT;"""Twint a MUELLER ANNA""";-331.87;CHF;;;;"""""";"""Twint a MUELLER ANNA""";"""""";0;;;;
23/07/2025;CARD_TRANSACTION_OUT;"""Coop-2848 ZH Sihlcity""";-16.39;CHF;;;**** 1853;"""Zürich, CH""";"""Coop-2848 ZH Sihlcity""";"""""";0;;;;
25/07/2025;PAYMENT_TRANSACTION_IN;"""Transfer from Digital Innovations GmbH""";;;6169.81;CHF;;"""""";"""""";"""Digital Innovations GmbH""";0;;;;
27/07/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
01/08/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Housing Management AG""";-1245.13;CHF;;;;"""""";"""Housing Management AG""";"""""";0;;;;
01/08/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/08/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
02/08/2025;CARD_TRANSACTION_OUT;"""Coop-2848 ZH Sihlcity""";-31.95;CHF;;;**** 1853;"""Zürich, CH""";"""Coop-2848 ZH Sihlcity""";"""""";0;;;;
02/08/2025;CARD_TRANSACTION_OUT;"""Coop-4899 Zürich Bahnh""";-54.43;CHF;;;**** 1853;"""Zürich 1 Sihl, CH""";"""Coop-4899 Zürich Bahnh""";"""""";0;;;;
10/08/2025;PAYMENT_TRANSACTION_OUT;"""Twint a SCHMIDT PETER""";-440.82;CHF;;;;"""""";"""Twint a SCHMIDT PETER""";"""""";0;;;;
19/08/2025;CARD_TRANSACTION_OUT;"""Migros MR Brunaupark""";-20.44;CHF;;;**** 1853;"""Zürich, CH""";"""Migros MR Brunaupark""";"""""";0;;;;
25/08/2025;PAYMENT_TRANSACTION_IN;"""Transfer from TechCorp Solutions AG""";;;6102.44;CHF;;"""""";"""""";"""TechCorp Solutions AG""";0;;;;
30/08/2025;CARD_TRANSACTION_OUT;"""Migros MR Brunaupark""";-45.94;CHF;;;**** 1853;"""Zürich, CH""";"""Migros MR Brunaupark""";"""""";0;;;;
31/08/2025;CARD_TRANSACTION_OUT;"""Coop-2848 ZH Sihlcity""";-60.64;CHF;;;**** 1853;"""Zürich, CH""";"""Coop-2848 ZH Sihlcity""";"""""";0;;;;
01/09/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Property Services Ltd""";-1185.54;CHF;;;;"""""";"""Property Services Ltd""";"""""";0;;;;
01/09/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/09/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
05/09/2025;PAYMENT_TRANSACTION_OUT;"""Train ticket""";-80.00;CHF;;;;"""""";"""SBBCFFFSS""";"""""";0;;;;
02/09/2025;CARD_TRANSACTION_OUT;"""Confiseur Bachmann AG""";-39.44;CHF;;;**** 1853;"""Zürich, CH""";"""Confiseur Bachmann AG""";"""""";0;;;;
06/09/2025;CARD_TRANSACTION_OUT;"""Migros TA KAIMUG Bruna""";-23.08;CHF;;;**** 1853;"""Zürich, CH""";"""Migros TA KAIMUG Bruna""";"""""";0;;;;
08/09/2025;CARD_TRANSACTION_OUT;"""Coop-4899 Zürich Bahnh""";-77.18;CHF;;;**** 1853;"""Zürich 1 Sihl, CH""";"""Coop-4899 Zürich Bahnh""";"""""";0;;;;
08/09/2025;CARD_TRANSACTION_OUT;"""Confiseur Bachmann AG""";-60.27;CHF;;;**** 1853;"""Zürich, CH""";"""Confiseur Bachmann AG""";"""""";0;;;;
17/09/2025;CARD_TRANSACTION_OUT;"""Migros TA KAIMUG Bruna""";-54.06;CHF;;;**** 1853;"""Zürich, CH""";"""Migros TA KAIMUG Bruna""";"""""";0;;;;
22/09/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
25/09/2025;PAYMENT_TRANSACTION_IN;"""Transfer from Software Development Ltd""";;;6331.67;CHF;;"""""";"""""";"""Software Development Ltd""";0;;;;
01/10/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Housing Management AG""";-1158.69;CHF;;;;"""""";"""Housing Management AG""";"""""";0;;;;
01/10/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/10/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
11/10/2025;PAYMENT_TRANSACTION_OUT;"""Twint a AMAZON.CH""";-145.07;CHF;;;;"""""";"""Twint a AMAZON.CH""";"""""";0;;;;
15/10/2025;CARD_TRANSACTION_OUT;"""Hong Kong Food Sihlcit""";-21.28;CHF;;;**** 1853;"""Zürich, CH""";"""Hong Kong Food Sihlcit""";"""""";0;;;;
22/10/2025;CARD_TRANSACTION_OUT;"""Kennedy's Irish Pub""";-24.10;CHF;;;**** 1853;"""Zürich, CH""";"""Kennedy's Irish Pub""";"""""";0;;;;
23/10/2025;CARD_TRANSACTION_OUT;"""Migros TA KAIMUG Bruna""";-39.14;CHF;;;**** 1853;"""Zürich, CH""";"""Migros TA KAIMUG Bruna""";"""""";0;;;;
24/10/2025;CARD_TRANSACTION_OUT;"""Hong Kong Food Sihlcit""";-51.29;CHF;;;**** 1853;"""Zürich, CH""";"""Hong Kong Food Sihlcit""";"""""";0;;;;
25/10/2025;PAYMENT_TRANSACTION_IN;"""Transfer from Software Development Ltd""";;;6065.35;CHF;;"""""";"""""";"""Software Development Ltd""";0;;;;
31/10/2025;CARD_TRANSACTION_OUT;"""Coop-2848 ZH Sihlcity""";-50.99;CHF;;;**** 1853;"""Zürich, CH""";"""Coop-2848 ZH Sihlcity""";"""""";0;;;;
01/11/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Property Services Ltd""";-1199.89;CHF;;;;"""""";"""Property Services Ltd""";"""""";0;;;;
01/11/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/11/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
03/11/2025;CARD_TRANSACTION_OUT;"""Migros MR Brunaupark""";-71.62;CHF;;;**** 1853;"""Zürich, CH""";"""Migros MR Brunaupark""";"""""";0;;;;
05/11/2025;PAYMENT_TRANSACTION_OUT;"""Train ticket""";-80.00;CHF;;;;"""""";"""SBBCFFFSS""";"""""";0;;;;
05/11/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
06/11/2025;CARD_TRANSACTION_OUT;"""YALDA Sihlcity""";-40.15;CHF;;;**** 1853;"""Zürich, CH""";"""YALDA Sihlcity""";"""""";0;;;;
15/11/2025;CARD_TRANSACTION_OUT;"""YALDA Sihlcity""";-52.19;CHF;;;**** 1853;"""Zürich, CH""";"""YALDA Sihlcity""";"""""";0;;;;
17/11/2025;CARD_TRANSACTION_OUT;"""YALDA Sihlcity""";-55.24;CHF;;;**** 1853;"""Zürich, CH""";"""YALDA Sihlcity""";"""""";0;;;;
24/11/2025;CARD_TRANSACTION_OUT;"""Coop-4899 Zürich Bahnh""";-66.06;CHF;;;**** 1853;"""Zürich 1 Sihl, CH""";"""Coop-4899 Zürich Bahnh""";"""""";0;;;;
25/11/2025;PAYMENT_TRANSACTION_IN;"""Transfer from Digital Innovations GmbH""";;;6152.89;CHF;;"""""";"""""";"""Digital Innovations GmbH""";0;;;;
01/12/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Housing Management AG""";-1220.97;CHF;;;;"""""";"""Housing Management AG""";"""""";0;;;;
01/12/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/12/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
01/12/2025;CARD_TRANSACTION_OUT;"""Migros TA KAIMUG Bruna""";-47.11;CHF;;;**** 1853;"""Zürich, CH""";"""Migros TA KAIMUG Bruna""";"""""";0;;;;
04/12/2025;PAYMENT_TRANSACTION_OUT;"""Twint a MUELLER ANNA""";-174.89;CHF;;;;"""""";"""Twint a MUELLER ANNA""";"""""";0;;;;
05/12/2025;CARD_TRANSACTION_OUT;"""Coop-4899 Zürich Bahnh""";-82.22;CHF;;;**** 1853;"""Zürich 1 Sihl, CH""";"""Coop-4899 Zürich Bahnh""";"""""";0;;;;
17/12/2025;CARD_TRANSACTION_OUT;"""Confiseur Bachmann AG""";-19.32;CHF;;;**** 1853;"""Zürich, CH""";"""Confiseur Bachmann AG""";"""""";0;;;;
21/12/2025;CARD_TRANSACTION_OUT;"""Aldi Suisse 74""";-58.75;CHF;;;**** 1853;"""Zürich, CH""";"""Aldi Suisse 74""";"""""";0;;;;
21/12/2025;CARD_TRANSACTION_OUT;"""Migros MR Brunaupark""";-20.07;CHF;;;**** 1853;"""Zürich, CH""";"""Migros MR Brunaupark""";"""""";0;;;;
25/12/2025;PAYMENT_TRANSACTION_IN;"""Transfer from TechCorp Solutions AG""";;;6212.66;CHF;;"""""";"""""";"""TechCorp Solutions AG""";0;;;;
27/12/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
31/12/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
